Nombre,Domicilio
PRIMARIA GENERAL - AMALIA GONZALEZ CABALLERO,"AV DE LAS CULTURAS Y PESCADORES, EL ROSARIO, DELEGACION AZCAPOTZALCO, MEXICO DF."
PREESCOLAR GENERAL - YOLICUALCAN,"AV MATAMOROS NO 2, PUEBLO SAN AGUSTIN OHTENCO, DELEGACION MILPA ALTA, MEXICO DF."
PRIMARIA GENERAL - PROFR. GUILLERMO SHERWELL,"CALLE X S/N, U H ALIANZA POPUL REVOLUCIONARIA, DELEGACION COYOACAN, MEXICO DF."
SECUNDARIA GENERAL - GUADALUPE CENICEROS DE ZAVALETA,"REY MECONETZIN ESQ MIXTECAS, AJUSCO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - EJERCITO NACIONAL,"LEOPOLDO SALAZAR S/N, COPILCO EL ALTO, DELEGACION COYOACAN, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE No. 98","2a  PRIVADA DE AQUILES SERDAN S/N, SANTO DOMINGO, DELEGACION AZCAPOTZALCO, MEXICO DF."
SECUNDARIA GENERAL - JESUS F. CONTRERAS,"AV CEYLAN NO 1001 Y PONIENTE 146, FERRERIA, DELEGACION AZCAPOTZALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 103,"CALLE ALAMOS ENTRE LAUREL Y PINO, CAMPESTRE EL POTRERO, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - JOSE MARIA PINO SUAREZ,
ESCUELA SECUNDARIA TECNICA 119,"CALLE CINCO S/N, AMPLIACION MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF."
SECUNDARIA GENERAL - GABINO BARREDA,"SUPER MANZANA 17 2DA CDA 637 Y 641, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - JOHN F. KENNEDY,"ANDRES MOLINA ENRIQUEZ NO 300, AMPLIACION SINATEL, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - LIC. ISIDRO FABELA ALFARO,"HERMENEGILDO GALEANA S/N Y MICH, GUADALUPE DEL MORAL, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - JOSE GUADALUPE POSADA,"IGNACIO ALLENDE NO.18, MIGUEL DE LA MADRID HURTADO, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - REPUBLICA DE COLOMBIA,"AV HENRY FORD Y NORTE 54-A, BONDOJITO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - PROFRA. INES SALGADO ARROYO,"BETABEL S/N, TENORIOS, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. LUIS DE LA BRENA,"PONIENTE 122 NO 548, BARRIO SANTA CRUZ DE LAS SALINAS, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - JESUS SOTELO INCLAN,"ANDADOR SIN NOMBRE, UNIDAD HAB SAN PABLO XALPA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - CIUDAD REYNOSA,"REF MINATITLAN Y CAMPO ACALAPA S, REYNOSA TAMAULIPAS, DELEGACION AZCAPOTZALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 100,"AV. GUSTAVO DIAZ ORDAZ S/N, COLONIA JALALPA, DELEGACION ALVARO OBREGON, MEXICO DF."
TELESECUNDARIA 40,"FCO P MIRANDA S/N, COLONIA U HAB LOMAS DE PLATEROS, DELEGACION ALVARO OBREGON, MEXICO DF"
PRIMARIA GENERAL - REVOLUCION,"ARCOS DE BELEN NO 82, DOCTORES, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - ALVARO OBREGON,"VOL POPOCATEPETL Y VOL ZUNIL, AMPL PROVIDENCIA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
TELESECUNDARIA 127,"PTO MAZATLAN Y PAPANTLA, CASAS ALEMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 22","CATAZAJA S/N ESQ  DZIBALCHEN, CUCHILLA DE PADIERNA, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - JOSE CLEMENTE OROZCO,"MANUEL M. LOPEZ Y CECILIO ACOSTA, ZAPOTITLA, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - MAGDALENA CONTRERAS MILLAN,"ENSAÑANZA S/N, SAN PEDRO MARTIR, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - PEDRO HENRIQUEZ UREÑA,"AV ANDRES MOLINA ENRIQUEZ 4433, VIADUCTO PIEDAD, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - TELPOCHCALLI,"ORIENTE 245 B NO 39, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - CLUB DE LEONES IZTACALCO,"JUAREZ NO 29, SANTA ANITA, DELEGACION IZTACALCO, MEXICO DF."
SECUNDARIA GENERAL - YURI A. GAGARIN,"QUERETARO Y GUADALAJARA S/N, MIGUEL HIDALGO, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL - CELIC,"PISTE E IZAMAL S/N, LOMAS DE PADIERNA, DELEGACION TLAHUAC, MEXICO DF."
SECUNDARIA GENERAL - DIONISIA ZAMORA PALLARES,"AV MORELOS NO 639 Y FERNANDO IGLESIAS C, AGDALENA MIXHUCA, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - CARMEN SERDAN,"AV LIC ERNESTO P URUCHURTU S/N, ADOLFO LOPEZ MATEOS, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - MTRO. ANDRES JUAREZ SANTOS,"NORTE 3 NO 80, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - MAESTRA DIONISIA ZAMORA PALLARES,"PRESAS SOLIS Y SALINILLAS S/N, IRRIGACION, DELEGACION MIGUEL HIDALGO, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE NO 18","MARIANO SALAS S/N, ESTANZUELA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - DR. ATL,"AV. MIGUEL BERNARD S/N, BARRIO LA PURISIMA TICOMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL -  SIGMUND FREUD,"AV VASCO DE QUIROGA NO 1355, COLONIA PUEBLO SANTA FE, DELEGACION ALVARO OBREGON, MEXICO DF"
PRIMARIA GENERAL - CENTENARIO DEL 47,"NORTE 70 NO 5210, BONDOJITO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - BOMBERO RAMON ARRIAGA ACEVES,"INSURGENTES NTE Y TENOCHTITLAN, SANTA ISABEL TOLA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - ANA MARIA BERLANGA,"FRESNO NO 45, SANTA MARIA LA RIBERA, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - SOR JUANA INES DE LA CRUZ,"CERRADA PROLONGACION BENITO JUAREZ S/N, EL ROSARIO EL ALTO IXTAYOPAN, DELEGACION TLAHUAC, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 95,"CALLE 6 ENTRE CALLE 9 Y CALLE 11, PUEBLO STA CATARINA YECAHUIZOTL, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - ALFONSO QUIROZ,"ANTIGUA VIA LA VENTA S/N, COLONIA LOMAS DE BECERRA, DELEGACION ALVARO OBREGON, MEXICO DF."
SECUNDARIA GENERAL - LUDMILA YIVKOVA,"INF PEDREGAL DE CARRASCO 7TA SECC, PEDREGAL DE CARRASCO, DELEGACION COYOACAN, MEXICO DF."
SECUNDARIA PARA TRABAJADORES - ALTEPECALLI,"PROFR RAUL MEJIA ZUNIGA S/N Y PROLONGACION MADERO, PUEBLO SANTA ANA TLACOTENCO, DELEGACION MILPA ALTA, MEXICO DF."
PREESCOLAR GENERAL - REFUGIO SONI,"2A CERRADA DE CALLE 12 Y RIO CHURUBUSCO, GRANJAS SAN ANTONIO, DELEGACION IZTAPALAPA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 43,"GUSTAVO SALAZAR BEJARANO ESQ. PEDRO SAINZ DE BARAN, LOS CIPRESES, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - PROFR. CLAUDIO CORTES CASTRO,"AV JAVIER ROJO GOMEZ NO 103, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
SECUNDARIA GENERAL - LUIS ALVAREZ BARRET,"ORIENTE 245 ESQ SUR 20, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
SECUNDARIA TECNICA INDUSTRIAL - ESCUELA SECUNDARIA TECNICA 18,"PROL GUERRERO S/N, PUEBLO SAN PABLO OZTOTEPEC, DELEGACION MILPA ALTA, MEXICO DF."
PRIMARIA GENERAL - IGNACIO LOPEZ RAYON,"FAISAN NO 8, COLONIA BELLA VISTA, DELEGACION ALVARO OBREGON, MEXICO DF."
LICENCIATURA EN EDUCACION PRIMARIA - BENEMERITA ESCUELA NACIONAL DE MAESTROS,"CALZ MEX-TACUBA Y AV DE LOS MAESTROS NO 75, UN HOGAR PARA NOSOTROS, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - NACIONES UNIDAS,"AV PRIMERO DE MAYO NO 43, TACUBAYA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PREESCOLAR GENERAL - RUFINO TAMAYO,"UNIDAD HAB. FOVISSSTE FUENTES BROTAN, FUENTES BROTANTES, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - AFGANISTAN,"JUAN CARBONERO NO 120, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - CHIMALCOYOTL,"CRISTOBAL COLON NO 10, CHIMALCOYOTL, DELEGACION TLAHUAC, MEXICO DF."
SECUNDARIA GENERAL - TLACAELEL,"PRESA SALINILLA FRENTE A NO 390, IRRIGACION , DELEGACION MIGUEL HIDALGO, MEXICO DF."
PREESCOLAR GENERAL - DIEGO RIVERA,"AV. DE LOS MAESTROS NO 141, SANTO TOMAS, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - HERMANOS GRIMM,"CANTON CHINA Y MARRUECOS, ROMERO RUBIO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL CON SERVICIO ASISTENCIAL - ESCUELA DE PARTICIPACION SOCIAL NUMERO 3,"AV DEL RECREO S/N, JUVENTINO ROSAS, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - ALFONSO REYES,"GRAL GERTRUDIS SANCHEZ NO 102, PRIMERO DE MAYO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - PROFRA. MARIA ARIAS BERNAL,"RET.BATALLON CHAUTLA S/N, U HAB EJERCITO DE OTE II ISSSTE, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - ESTADO DE PUEBLA,"PLAZA AVIACION NO 4, MOCTEZUMA 1A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - ESTADO DE MORELOS,"AV.YUCATAN NO 2, SANTA MARTHA ACATITLA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - CALPULLI CALTONGO,"CALLE EL ROBLE S/N, BARRIO CALTONGO, DELEGACION XOCHIMILCO, MEXICO DF."
TELESECUNDARIA 70,"MAGNOLIA NUM 175, GUERRERO, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - COATLICUE,"CALLE 4 Y CALLE 5 S/N, AMPLIACION SANTIAGO ACAHUALTEPEC, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - DELFINA HUERTA LOPEZ,"GERSAYN UGARTE Y DONATO BRAVO, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - ISIDRO FABELA,"CALZ.IGNACIO ZARAGOZA NO.2300, SAN LORENZO XICOTENCATL, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - ESTADO DE QUERETARO,"AV SANTA URSULA NO 22, PEDREGAL DE SANTA URSULA XITLA, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - IGNACIO ZARAGOZA,"TRIGO NO 100, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - JUANA PAVON DE MORELOS,"ANTONIO CARDENAS NO 409, ESCUADRON 201, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - XOCHIPITZAHUAC,"PROCURADORES S/N, AMPLIACION SIFON, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - JAIME SABINES,"NOCHEBUENA Y AV CANADA S/N SAN PABLO 2A SECCION, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - ESTRELLA,"CERRO DE LA ESTRELLA S/N, PARAJE SAN JUAN, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - GUSTAVO A. MADERO,"CUAUHTEMOC NO.1, PUEBLO CULHUACAN, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - LEANDRO VALLE,"GUERRA DE REFORMA NO.38, DELEGACION IZTAPALAPA, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 30","PIMA ALTO S/N  ESQ  CANAL DE TEZONTL, LIC CARLOS ZAPATA VELA 1A SECC, DELEGACION IZTACALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 79,"AV. 5 DE MAYO Y EL CALVARIO S/N, PUEBLO SAN LUIS TLAXIALTEMALCO, DELEGACION XOCHIMILCO, MEXICO DF."
SECUNDARIA GENERAL - OLGA ESQUIVEL MOLINA,"ORIENTE 102 NO 1825, AMPLIACION GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - CRISTOBAL COLON,"AV DEL TRABAJO Y CUAUHTEMOC S/N, SANTIAGO TEPALCATLAPAN, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - ITZCOATL,"CAMINO VIEJO A SAN LORENZO S/N, SANTA MARIA NATIVITAS, DELEGACION XOCHIMILCO, MEXICO DF."
PREESCOLAR GENERAL - SUECIA,"MANZANA 3 SECCION H,COLONIA U HAB LOMAS DE PLATEROS, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - LAS TRES AMERICAS,"RIO RHIN NO 74, CUAUHTEMOC, DELEGACION CUAUHTEMOC, MEXICO DF."
SECUNDARIA GENERAL - ANGEL MIRANDA BASURTO,"BLAS BALCARCEL Y LUIS DE LA ROSA, CONSTITUCION DE LA REPUBLICA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFRA. MARGARITA LOPEZ FARFAN,"RAUL HELMER Y TATA NACHO S/N, EL TEPETATAL, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - JOSE LOPEZ PORTILLO Y WEBER,"TACANA Y MONTE DE LAS CRUCES, LA PRADERA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - IGNACIO ZARAGOZA,"AV HIDALGO NO 161, GUSTAVO A. MADERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - LEONA VICARIO,"AV MICHOACAN Y GUADALUPE, CHALMA DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - LIC. ATENEDORO MONROY,"CALLE 9 NO 347, AGUILERA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL CON SERVICIO ASISTENCIAL - ESCUELA DE PARTICIPACION SOCIAL NUMERO 5,"AV SAN FERNANDO NO 12, TLALPAN, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL - EUCARIO LEON LOPEZ,"AV. CENTRAL NO 3, A M S A, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - TOTOMCALLI,"LOMAS DE PLATEROS Y DR. CABRERA S/N, COLONIA U HAB LOMAS DE PLATEROS, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - ARABIA SAUDITA,"AV SILOS NO 34 SUPER MZNA 1, VILLA COAPA, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL - AMADO NERVO,"MOCTEZUMA NO 123, GUERRERO, DELEGACION CUAUHTEMOC, MEXICO DF."
SECUNDARIA GENERAL - LAZARO CARDENAS,"AV FAJA DE ORO Y RENACIMIENTO, PETROLERA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PREESCOLAR GENERAL - ANA MARIA BERLANGA,"AV CLAVELINAS ESQ VID, NUEVA SANTA MARIA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PREESCOLAR GENERAL - LEONARDA GOMEZ BLANCO,"AVENIDA JARDÍN SN, EUSKADI, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - GENERAL ANAYA,"EMILIO CARRANZA NO 39, ALBERT, EMILIO CARRANZA NO 39 ALBERT."
PREESCOLAR GENERAL - REPUBLICA ESPAÑOLA,"PASEO DE LA REFORMA NORTE 705, PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - ISLANDIA,"AVENIDA NUEVO LEON NO 268, CONDESA, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - IGNACIO L. VALLARTA,"DURANGO NO 100, ROMA NORTE, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - MARCELINO DAVALOS,"ACADEMIA NO 12, CENTRO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - JESUS T. ACEVEDO,"AV CANAL SAN JUAN NO 315, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
TELESECUNDARIA 90,"REPUBLICA DE COLOMBIA NUM 24, CENTRO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DE NICARAGUA,"RETORNO 47 S/N, AVANTE, DELEGACION COYOACAN, MEXICO DF."
SECUNDARIA TECNICA INDUSTRIAL - ESCUELA SECUNDARIA TECNICA 13,
PREESCOLAR GENERAL - MARGARITA ESTEVANE SALAS,"AV. 29 DE OCTUBRE S/N, COLONIA LOMAS DE LA HERA, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - PEDRO AGUIRRE DE LA BARRERA,
PREESCOLAR GENERAL - TIERRA Y LIBERTAD,"J.ROSAS, AGUSTIN LARA Y PONIENTE NO 10, SAN JOSE , DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - SUIZA,"ESFUERZO 36, SANTA URSULA COAPA, DELEGACION COYOACAN, MEXICO DF."
LICENCIATURA EN EDUCACION ESPECIAL (CURSO ORDINARIO) - ESCUELA NORMAL DE ESPECIALIZACION,"CAMPOS ELISEOS NO 467, POLANCO REFORMA, DELEGACION MIGUEL HIDALGO, MEXICO DF.."
PRIMARIA GENERAL - CENTRO ESCOLAR MEXICO,"DANIEL CABRERA NO 21, PENSIL, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - AQUILES SERDAN,"CALZ PANTEON CIVIL 18, AMERICA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - ESTADO DE GUERRERO,"LAGOS ONTARIO Y WINNIPEG, LEGARIA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - FRAY MELCHOR DE TALAMANTES,"FERR DE CINTURA S/N Y LECUMBERRI, MORELOS, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - TLAHUIZ,"PROLONGACION AQUILES SERDAN S/N, SANTIAGO TEPALCATLAPAN, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - DR. EPIFANIO JIMENEZ AVILA,"LOS CERILLOS 2DA SECC, SANTIAGO TULYEHUALCO 2A SECCION, DELEGACION XOCHIMILCO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - EMILIO ROSENBLUETH,"AV. INT. POL. NAL. 3600 Y PROLONGACION, SAN PEDRO ZACATENCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - LA PRENSA,"CONSTANTINO Y DONIZZETI, VALLEJO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - DR. CAYETANO ANDRADE,"FRAY JUAN DE PADILLA Y 5 DE MAYO, VASCO DE QUIROGA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFR. FEDERICO HERRERA MARTINEZ,"DONATELO NO 49, MIXCOAC, DELEGACION BENITO JUAREZ, MEXICO DF.."
PRIMARIA GENERAL - ENRIQUE AGUILAR GONZALEZ,"AV MEXICO 68 S/N Y LIBERTAD, PEDREGAL DE CARRASCO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA ITALIANA,"PASEO DIOSES AZTECAS U INFO CTM, AMPL SAN FRANCISCO CULHUACAN, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - LEOPOLDO MENDEZ,"CAHITAS S/N, UNIDAD HABITACIONAL CTM CINCO, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - REPUBLICA ARABE UNIDA,"SUR 75 Y 1A CERRADA SUR 77, NUEVA SANTA ANITA, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - JOSE MANCISIDOR ORTIZ,"OTE 229 NO 290, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - DR. EDUARDO R. CORONEL,"AV SUR 12 NO 145, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 83,"CALLE 6 Y AVENIDA PUEBLA S/N, CUCHILLA AGRICOLA PANTITLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - GREGORIO TORRES QUINTERO,"HOMBRES ILUSTRES NO 101, PUEBLO SANTA CECILIA TEPETLAPA, DELEGACION XOCHIMILCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 9,"5 DE FEBRERO Y MOCTEZUMA, ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - MAHATMA GANDHI,"PARQ CENTRAL NTE Y C CAMPESTRE, CAMPESTRE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - QUAUCALLI,"ARROLLO LA ARMELLA Y DORADILLA S/N ESQUINA PASIONARIA, ASAMBLEA DE BARRIOS, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - REPUBLICA DE URUGUAY,"CAMELLON EDUARDO MOLINA S/N, VASCO DE QUIROGA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR Y PRIMARIA ESPECIAL - CENTRO DE ATENCION MULTIPLE 67","PINOS Y CAMINO VECINAL S/N, PALMATITLA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - EJIDO DE ZACATENCO,"AV ACUEDUCTO NO 643, SAN PEDRO ZACATENCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - LEONA VICARIO,"EXPLOSIVOS NO 7, LOMAS DE CHAMIZAL 1A SECC, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
SECUNDARIA TECNICA INDUSTRIAL - ESCUELA SECUNDARIA TECNICA 61,"CALLE MANUEL ESPERON Y ABEL DOMINGUEZ, EL TEPETATAL, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFR. FRANCISCO DE LA MAZA CUADRA,"AV 1543 NO 68, SAN JUAN DE ARAGON 6A SECCION, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA ARABE DE EGIPTO,"VILLA INFERIOR Y VILLA GONZALO, DESARROLLO URBANO QUETZALCOATL, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - GABINO JIMENEZ JIMENEZ,"TECNOLOGIA Y PEÑA ALTA S/N, JAIME TORRES BODET, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - KANTUNIL,"D'ZEMUL Y MANI S/N, PEDREGAL DE SAN NICOLAS, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - BIK'IT,"AKIL Y YUCALTEPEN, POPULAR SANTA TERESA, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - YAXCHE,"GITANA ESQ. MORELOS, LA NOPALERA, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - MIGUEL RAMOS ARIZPE,"IGNACIO ALLENDE S/N, GUADALUPE DEL MORAL, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - OCTAVIO PAZ,"GUADALUPANA Y CALLE1, LOMAS DE LA ESTANCIA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DE GUATEMALA,"IGNACIO COMONFORT S/N, SAN LUCAS, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - LIBERALES DE 1857,"V. GOMEZ FARIAS ESQ. PRESIDENTE JUAREZ, COLONIA LIBERALES DE 1857, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DE IRAK,"RODOLFO USIGLI Y SUR 101'A', SECTOR POPULAR, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - PEDRO PABLO RUBENS,"TRINIDAD S/N, SAN LORENZO XICOTENCATL, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - LEOPOLDO KIEL,"CORONEL LINO MERINO NO.525, JUAN ESCUTIA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - GENOVEVA CORTES,"VILLA ASCASURI Y MANUEL CAÐAS, DESARROLLO URBANO QUETZALCOATL, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - MAHATMA MOHANDAS GANDHI,"AV MARRUECOS Y LEON TROTSKY, PRIMERO DE MAYO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 52,"CHILPANCINGO SUR S/N, CONJ POPULAR HAB ERMITA ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF."
