Nombre,Domicilio
PREESCOLAR GENERAL - DR. ALFONSO ORTIZ TIRADO,"PLAZA GUARDIOLA Y PZA BUENAVISTA, DOCTOR ALFONSO ORTIZ TIRADO, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - ITZURI,"MATAMOROS Y FRANCISCO JAVIER MINA S/N, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - FRANCISCO MARQUEZ,"AV.YUCATAN NO.30, PUEBLO SN SEBASTIAN TECOLOXTITLA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. ANGEL SALAS BONILLA,"VERGEL NO.6, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PLAN DE SAN LUIS,"AV.JUAREZ NO.4, LOS REYES CULHUACAN, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - RAMON BETETA,"OAXACA S/N ESQ YUCATAN, PUEBLO SN SEBASTIAN TECOLOXTITLA, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - JAPON,"VERGEL Y 5 DE MAYO, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - HERMANOS FLORES MAGON,"BENITO JUAREZ NO.1, IXTLAHUACAN, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - BERTRAND RUSSELL,"CAMPOS IDOLOS Y FORTUNA NACIONAL, AMPLIACION PETROLERA, DELEGACION AZCAPOTZALCO, MEXICO DF."
SECUNDARIA GENERAL - NETZAHUALCOYOTL,"AV AQUILES SERDAN Y 1RA PRIV AQUILES SERDAN, SANTO DOMINGO, DELEGACION AZCAPOTZALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 88,"CALLE PUERTO SAN BLAS No. 59 , COLONIA PILOTO ADOLFO LOPEZ MATEOS, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - JOSE DE JESUS IBARRA Y ROBLES,"POLVORA S/N Y AV AUSTRIACOS, COLONIA EL PARAISO, DELEGACION ALVARO OBREGON, MEXICO DF."
SECUNDARIA GENERAL - REPUBLICA MEXICANA,"ABRAHAM GONZALEZ NO 47, JUAREZ, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - DR. SAMUEL RAMOS,
PRIMARIA GENERAL - CIRILO CELIS PASTRANA,"CANARIO Y FELIPE ANGELES S/N, COLONIA BELLA VISTA, DELEGACION ALVARO OBREGON, MEXICO DF."
PREESCOLAR GENERAL - REPUBLICA DE COLOMBIA,"GOUNOD Y LAZARO CARDENAS, EX-HIPODROMO DE PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - RODOLFO MENENDEZ,"SAN ILDEFONSO NO 59, CENTRO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - IGNACIO M. ALTAMIRANO,"HEROES NO 27, GUERRERO, DELEGACION CUAUHTEMOC, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 42,"GOROSTIZA ESQ TENOCHTITLAN, MORELOS, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - ROBERTO OWEN,"TRIQUIS Y TOTONACAS S/N, TEZOZOMOC, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - MAESTRO CARLOS GONZALEZ PEÑA,"OTE 91 NO 3132 Y NTE 64-A, MARTIRES DE RIO BLANCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFR. TEODORO MONTIEL,"CUAUHTEMOC NO 20, ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - MACUIZOCHITL,"BATALLA DE LOMA ALTA ESQ GUERRA, LEYES DE REFORMA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFRA. CARMEN RAMOS DEL RIO,"AV.REVOLUCION NO.81, REFORMA EDUCATIVA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - FELIPE CARRILLO PUERTO,"SIEMPREVIVA S/N, LOMAS SAN LORENZO, DELEGACION IZTAPALAPA, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 5","FRAY PEDRO DE GANTE NO  43, VASCO DE QUIROGA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 104,"UNIDAD HABITACIONAL EL ARBOLITO DOS, UNIDAD HAB EL ARBOLILLO  2, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFR. MELITON GUZMAN ROMERO,"PROLG DE TURQUESA NO 30, ESTRELLA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - SIXTO NIETO ROJAS,"NORTE 84 NO 4538M, NUEVA TENOCHTITLAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - DOLORES CARBAJAL DE GORTARI,"MIGUEL KRAMER ESQ. JARDIN, ATLANTIDA, DELEGACION COYOACAN, MEXICO DF."
